11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 45] Logger initialized

11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:23: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:24: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:24: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:25: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:25: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:26: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:26: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:27: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:27: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:30: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:30: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:31: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:31: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:32: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:32: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:33: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:33: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:34: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:34: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:35: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command

11:44:38: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 83] Passed!

