11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized

11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | create | 46] Command initialized

11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 4.0

11:44:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 1.0

11:44:21: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.6666666666666666

11:44:21: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.5

11:44:22: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.4

11:44:22: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.3333333333333333

11:44:23: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.2857142857142857

11:44:23: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 2.5, 0.25

11:44:24: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 4.444444444444445, 0.2222222222222222

11:44:24: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 6.0, 0.2

11:44:25: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 1.8181818181818181, 5.454545454545454, 0.18181818181818182

11:44:25: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 3.3333333333333335, 5.0, 0.16666666666666666

11:44:26: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 4.615384615384615, 4.615384615384615, 0.15384615384615385

11:44:26: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 4.285714285714286, 2.857142857142857, 0.14285714285714285

11:44:27: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 4.0, 1.3333333333333333, 0.13333333333333333

11:44:27: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 3.75, 0.0, 0.125

11:44:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 2.3529411764705883, 0.0, 0.11764705882352941

11:44:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 1.1111111111111112, 0.0, 0.1111111111111111

11:44:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.10526315789473684

